# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,   HH,    T, T10N,   TD
  260,20220101,    1,  111,     ,  100
  260,20220101,    2,  114,     ,  106
  260,20220101,    3,  120,     ,  110
  260,20220101,    4,  119,     ,  109
  260,20220101,    5,  117,     ,  108
  260,20220101,    6,  117,  107,  105
  260,20220101,    7,  116,     ,  104
  260,20220101,    8,  123,     ,  102
  260,20220101,    9,  123,     ,  102
  260,20220101,   10,  121,     ,  102
  260,20220101,   11,  123,     ,  104
  260,20220101,   12,  130,   97,  105
  260,20220101,   13,  131,     ,  106
  260,20220101,   14,  130,     ,  106
  260,20220101,   15,  130,     ,  105
  260,20220101,   16,  127,     ,  103
  260,20220101,   17,  128,     ,  103
  260,20220101,   18,  124,  115,  103
  260,20220101,   19,  125,     ,  101
  260,20220101,   20,  127,     ,   98
  260,20220101,   21,  126,     ,   97
  260,20220101,   22,  126,     ,   93
  260,20220101,   23,  120,     ,   94
  260,20220101,   24,  118,  111,   93
  260,20220102,    1,  113,     ,  101
  260,20220102,    2,  116,     ,  103
  260,20220102,    3,  127,     ,  104
  260,20220102,    4,  127,     ,  105
  260,20220102,    5,  123,     ,  108
  260,20220102,    6,  119,  108,   99
  260,20220102,    7,  120,     ,   96
  260,20220102,    8,  122,     ,   99
  260,20220102,    9,  120,     ,   94
  260,20220102,   10,  123,     ,   90
  260,20220102,   11,  121,     ,   94
  260,20220102,   12,  126,  110,   97
  260,20220102,   13,  127,     ,   89
  260,20220102,   14,  122,     ,   84
  260,20220102,   15,  114,     ,   86
  260,20220102,   16,  112,     ,   85
  260,20220102,   17,  113,     ,   88
  260,20220102,   18,  113,  106,   86
  260,20220102,   19,  108,     ,   90
  260,20220102,   20,  107,     ,   95
  260,20220102,   21,  113,     ,   80
  260,20220102,   22,  106,     ,   76
  260,20220102,   23,  105,     ,   75
