# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,   HH,    T, T10N,   TD
  260,20200101,    1,   17,     ,   16
  260,20200101,    2,   15,     ,   14
  260,20200101,    3,   16,     ,   15
  260,20200101,    4,   14,     ,   13
  260,20200101,    5,    8,     ,    7
  260,20200101,    6,    2,    3,    1
  260,20200101,    7,    0,     ,   -1
  260,20200101,    8,    0,     ,   -1
  260,20200101,    9,    1,     ,    0
  260,20200101,   10,    3,     ,    2
  260,20200101,   11,    3,     ,    2
  260,20200101,   12,    4,    0,    3
  260,20200101,   13,    6,     ,    5
  260,20200101,   14,    6,     ,    5
  260,20200101,   15,    6,     ,    5
  260,20200101,   16,    7,     ,    6
  260,20200101,   17,    9,     ,    8
  260,20200101,   18,    5,    7,    4
  260,20200101,   19,    6,     ,    5
  260,20200101,   20,    9,     ,    8
  260,20200101,   21,   15,     ,   14
  260,20200101,   22,   16,     ,   13
  260,20200101,   23,   14,     ,   11
  260,20200101,   24,   16,    6,   15
  260,20200102,    1,   19,     ,   17
  260,20200102,    2,   15,     ,   14
  260,20200102,    3,   14,     ,   11
  260,20200102,    4,   16,     ,   14
  260,20200102,    5,   20,     ,   17
  260,20200102,    6,   23,   14,   21
  260,20200102,    7,   26,     ,   21
  260,20200102,    8,   27,     ,   23
  260,20200102,    9,   27,     ,   24
  260,20200102,   10,   27,     ,   25
  260,20200102,   11,   27,     ,   24
  260,20200102,   12,   29,   23,   25
  260,20200102,   13,   34,     ,   29
  260,20200102,   14,   39,     ,   33
  260,20200102,   15,   43,     ,   35
  260,20200102,   16,   44,     ,   35
  260,20200102,   17,   50,     ,   41
  260,20200102,   18,   56,   30,   43
  260,20200102,   19,   57,     ,   45
  260,20200102,   20,   62,     ,   49
  260,20200102,   21,   64,     ,   49
  260,20200102,   22,   68,     ,   50
  260,20200102,   23,   71,     ,   53
  260,20200102,   24,   73,   52,   55
  260,20200103,    1,   77,     ,   58
  260,20200103,    2,   82,     ,   60
  260,20200103,    3,   85,     ,   64
  260,20200103,    4,   86,     ,   66
  260,20200103,    5,   86,     ,   69
  260,20200103,    6,   84,   69,   72
  260,20200103,    7,   90,     ,   70
  260,20200103,    8,   93,     ,   70
  260,20200103,    9,   90,     ,   79
  260,20200103,   10,   92,     ,   83
  260,20200103,   11,   95,     ,   87
  260,20200103,   12,   98,   81,   88
  260,20200103,   13,   98,     ,   92
  260,20200103,   14,   98,     ,   90
  260,20200103,   15,   79,     ,   67
  260,20200103,   16,   68,     ,   58
  260,20200103,   17,   69,     ,   55
  260,20200103,   18,   61,   46,   35
  260,20200103,   19,   54,     ,   25
  260,20200103,   20,   57,     ,   26
  260,20200103,   21,   45,     ,   23
  260,20200103,   22,   52,     ,   29
  260,20200103,   23,   48,     ,   29
  260,20200103,   24,   47,   26,   27
  260,20200104,    1,   54,     ,   29
  260,20200104,    2,   58,     ,   34
  260,20200104,    3,   48,     ,   33
  260,20200104,    4,   55,     ,   33
  260,20200104,    5,   49,     ,   32
  260,20200104,    6,   49,   24,   32
  260,20200104,    7,   48,     ,   32
  260,20200104,    8,   58,     ,   38
  260,20200104,    9,   72,     ,   44
  260,20200104,   10,   76,     ,   47
  260,20200104,   11,   79,     ,   48
  260,20200104,   12,   81,   38,   46
  260,20200104,   13,   80,     ,   48
  260,20200104,   14,   79,     ,   51
  260,20200104,   15,   76,     ,   56
  260,20200104,   16,   75,     ,   60
  260,20200104,   17,   74,     ,   64
  260,20200104,   18,   74,   71,   64
  260,20200104,   19,   74,     ,   63
  260,20200104,   20,   74,     ,   63
  260,20200104,   21,   72,     ,   68
  260,20200104,   22,   72,     ,   69
  260,20200104,   23,   71,     ,   66
  260,20200104,   24,   71,   60,   62
  260,20200105,    1,   68,     ,   59
  260,20200105,    2,   67,     ,   60
  260,20200105,    3,   71,     ,   62
  260,20200105,    4,   70,     ,   61
  260,20200105,    5,   67,     ,   60
  260,20200105,    6,   68,   52,   57
  260,20200105,    7,   69,     ,   57
  260,20200105,    8,   69,     ,   56
  260,20200105,    9,   71,     ,   54
  260,20200105,   10,   71,     ,   52
  260,20200105,   11,   73,     ,   50
  260,20200105,   12,   75,   63,   40
  260,20200105,   13,   75,     ,   35
  260,20200105,   14,   74,     ,   37
  260,20200105,   15,   73,     ,   39
  260,20200105,   16,   69,     ,   41
